"","SampleNumber","Date","re","cv"
"1",1,1593820800,0.338140136809022,NA
"2",1,1593820800,0.298451891044484,NA
"3",1,1593820800,0.338140136809022,NA
"4",2,1593820800,0.318873668188737,0.041167175617025
"5",2,1593820800,0.163453674494684,0.197781707461222
"6",2,1593820800,0.779766343524733,1.18642077380293
"7",3,1593820800,0.232089232089232,0.18773572958716
"8",3,1593820800,0.00703234880450069,0.787325491304665
"9",3,1593820800,0.0878152537222728,0.662360299449456
"10",4,1593820800,0.00181235187508715,0.637444548608285
"11",4,1593820800,0.189449255674421,0.196243237443117
"12",4,1593820800,0.211931099003907,0.235726284101592
"13",5,1593820800,0.0183174289788307,0.503223360915254
"14",5,1593820800,0.175466246388232,0.75598328811583
"15",5,1593820800,0.0473348546018372,0.572403138619544
"16",6,1593820800,0.167074164629177,0.685150387242197
"17",6,1593820800,0.00347947112038976,0.439039695752265
"18",6,1593820800,0.0340843443096475,0.506444683832469
"19",7,1593820800,0.0763217798393678,0.612410168262816
"20",7,1593820800,0.0199069185341624,0.587849502704889
"21",7,1593820800,0.0701170040140063,0.614907723213462
"22",8,1593820800,0.00417236422285332,0.561927269041217
"23",8,1593820800,0.0474727525418769,0.566211375759821
"24",8,1593820800,0.0682182686210883,0.556471836374482
"25",9,1593820800,0,0.523599198130962
"26",9,1593820800,0,0.523599198130962
"27",9,1593820800,0,0.523599198130962
"28",1,1594425600,0.0167548500881834,NA
"29",1,1594425600,0.061904761904762,NA
"30",1,1594425600,0.0912795436022819,NA
"31",2,1594425600,0.00314889788574004,0.910364196021547
"32",2,1594425600,0.020641194554238,0.109932279552059
"33",2,1594425600,0.542185338865837,0.639623561405259
"34",3,1594425600,0.100080710250202,0.0899801655015111
"35",3,1594425600,0.488651535380507,0.440702740104531
"36",3,1594425600,0.0193491644678979,0.0778699449254549
"37",4,1594425600,0.106033273201042,0.342821569239446
"38",4,1594425600,0.0845648604269293,0.362629839365118
"39",4,1594425600,0.129076352274946,0.293678355774988
"40",5,1594425600,0.125580456289118,0.36111476053354
"41",5,1594425600,0.0950697308976627,0.512561879549866
"42",5,1594425600,0.0797985667247725,0.361777726001166
"43",6,1594425600,0.0248161764705882,0.440302443042826
"44",6,1594425600,0.0396270396270397,0.443021646619073
"45",6,1594425600,0.0396270396270397,0.443021646619073
"46",7,1594425600,0.139083479276124,0.302219365008111
"47",7,1594425600,0.0186635343252416,0.399841828819776
"48",7,1594425600,0.118034665520699,0.317979108181472
"49",8,1594425600,0.0867446393762184,0.29689934819722
"50",8,1594425600,0.00723427935447964,0.370962598123562
"51",8,1594425600,0.0127157129881926,0.376957107338513
"52",9,1594425600,0,0.350215315424663
"53",9,1594425600,0,0.350215315424663
"54",9,1594425600,0,0.350215315424663
"55",1,1595030400,0.339002267573696,NA
"56",1,1595030400,0.339002267573696,NA
"57",1,1595030400,0.37912673056443,NA
"58",2,1595030400,0.0209907640638119,0.0391847586551739
"59",2,1595030400,0.302214242968282,0.0787084747460789
"60",2,1595030400,0.231884057971014,0.335386615582552
"61",3,1595030400,0.101694915254237,0.58531340256464
"62",3,1595030400,0.0756457564575647,0.686131081423324
"63",3,1595030400,0.329885057471264,0.0870305480284411
"64",4,1595030400,0.0701754385964912,0.555010174168367
"65",4,1595030400,0.110476190476191,0.756418341582879
"66",4,1595030400,0.265974189486937,0.163987259629506
"67",5,1595030400,0.202898550724638,0.448322234021804
"68",5,1595030400,0.16090961427749,0.462352377399924
"69",5,1595030400,0.0557175251052802,0.639901289537121
"70",6,1595030400,0.105141980046047,0.426564848553098
"71",6,1595030400,0.189795918367347,0.715668632122261
"72",6,1595030400,0.132440476190476,0.394679216166078
"73",7,1595030400,0.0248506571087215,0.521209727048835
"74",7,1595030400,0.0113856589147287,0.511771377545215
"75",7,1595030400,0.0943952802359882,0.637275467636999
"76",8,1595030400,0.0844130349430702,0.470372920150452
"77",8,1595030400,0.000856898029134484,0.592239205162123
